Id,Start time,Completion time,time_helper,Cycle Counter1,product_upc,scan_unit_id,leave_comment,comment
31,8/20/2024 12:42,8/20/2024 12:48,8/20/2024 12:48,David,70085267969375,N107154,No,
32,8/20/2024 12:48,8/20/2024 12:48,8/20/2024 12:49,David,70085267969375,N107153,No,
33,8/20/2024 12:49,8/20/2024 12:49,8/20/2024 12:49,David,70085267969375,N107156,No,
34,8/20/2024 12:49,8/20/2024 12:50,8/20/2024 12:50,David,70085267969375,N107149,No,
35,8/20/2024 12:50,8/20/2024 12:50,8/20/2024 12:50,David,70085267969375,N107150,No,
36,8/20/2024 12:50,8/20/2024 12:52,8/20/2024 12:52,David,70085267969375,N107144,No,
37,8/20/2024 12:52,8/20/2024 12:53,8/20/2024 12:53,David,70085267969375,N107145,No,
38,8/20/2024 12:53,8/20/2024 12:53,8/20/2024 12:53,David,70085267969375,N107147,No,
39,8/20/2024 12:53,8/20/2024 12:54,8/20/2024 12:54,David,70085267969375,N107146,No,
40,8/20/2024 12:54,8/20/2024 12:55,8/20/2024 12:55,David,70085267969375,N107152,No,
41,8/20/2024 12:55,8/20/2024 12:56,8/20/2024 12:56,David,70085267969375,N107148,No,
42,8/20/2024 12:56,8/20/2024 13:01,8/20/2024 13:01,David,70085267969375,N107151,No,
43,8/20/2024 13:01,8/20/2024 13:02,8/20/2024 13:03,David,70085267969375,N107155,No,
44,8/20/2024 13:03,8/20/2024 13:14,8/20/2024 13:15,David,70085267969375,N105911,No,
45,8/20/2024 13:15,8/20/2024 13:16,8/20/2024 13:17,David,70085267969375,N106138,No,
46,8/20/2024 13:17,8/20/2024 13:24,8/20/2024 13:26,David,70085267969375,N108830,No,
47,8/20/2024 13:26,8/20/2024 13:27,8/20/2024 13:27,David,70085267969375,N106137,No,
48,8/20/2024 13:27,8/20/2024 13:30,8/20/2024 13:31,David,70085267969375, N106136,No,
49,8/20/2024 13:31,8/20/2024 13:33,8/20/2024 13:35,David,70085267969375,N106722,No,
50,8/20/2024 13:35,8/20/2024 13:36,8/20/2024 13:36,David,70085267969375,N106416,No,
51,8/20/2024 13:36,8/20/2024 13:37,8/20/2024 13:38,David,70085267969375,N108826,No,
52,8/20/2024 13:38,8/20/2024 13:38,8/20/2024 13:39,David,70085267969375,N106417,No,
53,8/20/2024 13:39,8/20/2024 13:39,8/20/2024 13:40,David,70085267969375,N106418,No,
54,8/20/2024 13:40,8/20/2024 13:40,8/20/2024 13:44,David,70085267969375,N106419,No,
55,8/20/2024 13:44,8/20/2024 13:45,8/20/2024 13:45,David,70085267969375,N106421,No,
56,8/20/2024 13:45,8/20/2024 13:47,8/20/2024 13:49,David,70085267969375,N106420,No,
57,8/20/2024 13:49,8/20/2024 13:49,8/20/2024 13:51,David,70085267969375,N106422,No,
58,8/20/2024 13:51,8/20/2024 13:52,8/20/2024 13:52,David,70085267969375,N106423,No,
59,8/20/2024 13:52,8/20/2024 13:55,8/20/2024 13:56,David,70085267969375,N108014,No,
60,8/20/2024 13:56,8/20/2024 13:57,8/20/2024 13:57,David,70085267969375,N107457,No,
61,8/20/2024 13:57,8/20/2024 13:58,8/20/2024 14:00,David,70085267969375,N109690,No,
62,8/20/2024 14:00,8/20/2024 14:01,8/20/2024 14:02,David,70085267969375,N108015,No,
63,8/20/2024 14:02,8/20/2024 14:02,8/20/2024 14:03,David,70085267969375,N106721,No,
64,8/20/2024 14:03,8/20/2024 14:03,8/20/2024 14:04,David,70085267969375,N106405,No,
65,8/20/2024 14:04,8/20/2024 14:04,8/20/2024 14:05,David,70085267969375,N106404,No,
66,8/20/2024 14:05,8/20/2024 14:06,8/20/2024 14:06,David,70085267969375,N106403,No,
67,8/20/2024 14:06,8/20/2024 14:07,8/20/2024 14:09,David,70085267969375,N106402,No,
68,8/20/2024 14:09,8/20/2024 14:09,8/20/2024 14:10,David,70085267969375,N106990,No,
69,8/20/2024 14:10,8/20/2024 14:12,8/20/2024 14:13,David,70085267969375,N106991,No,
70,8/20/2024 14:13,8/20/2024 14:13,8/20/2024 11:36,David,70085267969375,N106139,No,
71,8/20/2024 11:36,8/20/2024 14:21,8/20/2024 14:24,David,70085267969375,N106992,No,
72,8/20/2024 14:24,8/20/2024 14:24,8/20/2024 14:25,David,70085267969375,N106993,No,
73,8/20/2024 14:25,8/20/2024 14:25,8/20/2024 14:25,David,70085267969375,N108833,No,
74,8/20/2024 14:25,8/20/2024 14:26,8/20/2024 15:07,David,70085267969375,N106994,No,
75,8/20/2024 15:07,8/20/2024 15:07,8/20/2024 15:08,David,70085267969375,N107458,No,
76,8/20/2024 15:08,8/20/2024 15:09,8/20/2024 15:09,David,70085267969375,N108829,No,
77,8/20/2024 15:09,8/20/2024 15:09,8/20/2024 15:13,David,70085267969375,N108824,No,
78,8/20/2024 15:13,8/20/2024 15:13,8/20/2024 15:14,David,70085267969375,N108016,No,
79,8/20/2024 15:14,8/20/2024 15:15,8/20/2024 15:15,David,70085267969375,N106995,No,
80,8/20/2024 15:15,8/20/2024 15:16,8/20/2024 15:17,David,70085267969375,N108017,No,
81,8/20/2024 15:17,8/20/2024 15:17,8/20/2024 15:17,David,70085267969375,N106996,No,
82,8/20/2024 15:17,8/20/2024 15:18,8/20/2024 15:19,David,70085267969375,N107461,No,
83,8/20/2024 15:19,8/20/2024 15:19,8/20/2024 15:20,David,70085267969375,N106997,No,
